version,p,T_p,T_1,S_p,E_p,T_o_p
bs_auto,1,63.639880500000004,63.639880500000004,1.0,1.0,0.0
bs_auto,2,41.624837,63.639880500000004,1.5288920050305543,0.7644460025152772,19.609793499999995
bs_auto,3,41.889821999999995,63.639880500000004,1.5192205996960315,0.5064068665653438,62.02958549999998
bs_auto,4,39.822783,63.639880500000004,1.598077173561677,0.39951929339041925,95.6512515
bs_auto,5,40.7996185,63.639880500000004,1.5598155776873257,0.31196311553746514,140.358212
bs_auto,6,41.687728500000006,63.639880500000004,1.5265854674715604,0.25443091124526007,186.48649050000003
bs_auto,7,39.8285305,63.639880500000004,1.5978465612734571,0.22826379446763673,215.159833
bs_auto,8,40.237457,63.639880500000004,1.5816079157288694,0.19770098946610867,258.2597755
bs_auto,9,37.377873,63.639880500000004,1.7026083988246201,0.18917871098051334,272.7609765
bs_auto,10,37.685641,63.639880500000004,1.6887036762888021,0.16887036762888022,313.2165295
bs_auto,11,37.830551,63.639880500000004,1.6822350935359098,0.15293046304871907,352.4961805
bs_auto,12,38.272683,63.639880500000004,1.6628016515068986,0.13856680429224155,395.6323155
bs_auto,13,38.821513,63.639880500000004,1.639294184644478,0.12609955266495984,441.03978850000004
bs_auto,14,39.635935,63.639880500000004,1.6056106787943818,0.11468647705674155,491.2632095
bs_auto,15,40.011312,63.639880500000004,1.5905472057502141,0.1060364803833476,536.5297995
bs_auto,16,39.827457,63.639880500000004,1.5978896292575244,0.09986810182859528,573.5994315
bs_numpy,1,14.165160499999999,14.165160499999999,1.0,1.0,0.0
bs_numpy,2,6.94414,14.165160499999999,2.039872540012154,1.019936270006077,-0.276880499999999
bs_numpy,3,5.298341,14.165160499999999,2.6735086511041852,0.8911695503680618,1.7298624999999994
bs_numpy,4,4.8285995,14.165160499999999,2.933596066519909,0.7333990166299772,5.149237500000002
bs_numpy,5,4.1874085,14.165160499999999,3.382798812200911,0.6765597624401822,6.7718820000000015
bs_numpy,6,4.2956544999999995,14.165160499999999,3.2975558206555022,0.5495926367759171,11.608766499999998
bs_numpy,7,4.027407,14.165160499999999,3.5171912101260188,0.5024558871608599,14.026688500000002
bs_numpy,8,3.7042025,14.165160499999999,3.8240783272512773,0.47800979090640966,15.468459500000002
bs_numpy,9,3.670087,14.165160499999999,3.859625262289422,0.42884725136549134,18.8656225
bs_numpy,10,3.360651,14.165160499999999,4.215004920177668,0.4215004920177668,19.4413495
bs_numpy,11,3.473337,14.165160499999999,4.0782568751606885,0.37075062501460804,24.041546500000003
bs_numpy,12,3.442957,14.165160499999999,4.114242640846226,0.34285355340385215,27.1503235
bs_numpy,13,3.470001,14.165160499999999,4.082177642023734,0.31401366477105647,30.944852499999996
bs_numpy,14,3.563054,14.165160499999999,3.9755671679407603,0.28396908342434,35.7175955
bs_numpy,15,3.602598,14.165160499999999,3.9319292632705616,0.2621286175513708,39.8738095
bs_numpy,16,3.484034,14.165160499999999,4.065735437713868,0.25410846485711674,41.5793835
bs_sklearn,1,66.57006,66.57006,1.0,1.0,0.0
bs_sklearn,2,44.123947,66.57006,1.5087059188064023,0.7543529594032011,21.677834000000004
bs_sklearn,3,39.323297499999995,66.57006,1.6928910908348926,0.5642970302782976,51.39983249999999
bs_sklearn,4,38.910787,66.57006,1.7108381796543977,0.4277095449135994,89.073088
bs_sklearn,5,38.519485,66.57006,1.7282178097656289,0.3456435619531258,126.02736500000002
bs_sklearn,6,38.6474775,66.57006,1.7224943076815298,0.2870823846135883,165.31480499999998
bs_sklearn,7,37.5763455,66.57006,1.7715948454859718,0.2530849779265674,196.4643585
bs_sklearn,8,37.778459999999995,66.57006,1.7621168253020374,0.22026460316275467,235.65761999999995
bs_sklearn,9,36.861963,66.57006,1.8059282409892277,0.20065869344324752,265.187607
bs_sklearn,10,37.012589,66.57006,1.798578856507444,0.1798578856507444,303.55582999999996
bs_sklearn,11,37.126604,66.57006,1.7930554596375148,0.16300504178522862,341.822584
bs_sklearn,12,37.776487,66.57006,1.7622088575891133,0.1468507381324261,386.747784
bs_sklearn,13,37.627195,66.57006,1.7692007070949614,0.13609236208422779,422.583475
bs_sklearn,14,37.904714,66.57006,1.7562475210866912,0.12544625150619224,464.09593599999994
bs_sklearn,15,37.988391,66.57006,1.752379036006026,0.1168252690670684,503.255805
bs_sklearn,16,37.606021,66.57006,1.7701968522540579,0.11063730326587862,535.126276
